meettijd(s)	hoek (o)	counts
2159.35	-166555	2
2160.43	-164889	0
2160.39	-163224	0
2160.39	-161558	4
2160.4	-159893	2
2160.38	-158227	2
2160.38	-156562	0
2160.39	-154896	3
2160.38	-153231	2
2161.46	-151565	3
2159.35	-149900	2
2160.38	-148234	0
2160.39	-146568	1
2160.4	-144903	0
2160.4	-143237	3
2160.37	-141572	1
2160.4	-139906	4
2161.43	-138241	2
2159.3	-136575	3
2160.38	-134910	2
2160.44	-133244	5
2160.43	-131578	6
2159.29	-129913	2
2160.38	-128247	2
2159.35	-126582	2
2161.46	-124916	1
2160.4	-123251	3
2160.38	-121585	4
2160.45	-119920	6
2160.38	-118254	4
2160.4	-116589	5
2161.4	-114923	3
2160.38	-113257	2
2160.38	-111592	5
2160.43	-109926	4
2159.37	-108261	11
2160.38	-106595	2
2159.3	-104930	3
2160.43	-103264	3
2159.35	-101599	4
2160.4	-099933	1
2160.4	-098267	2
2160.38	-096602	7
2161.51	-094936	6
2160.43	-093271	13
2160.38	-091605	8
2160.38	-089940	12
2160.37	-088274	5
2159.35	-086609	12
2160.38	-084943	6
2159.3	-083278	12
2160.38	-081612	10
2159.4	-079946	11
2160.38	-078281	19
2159.35	-076615	6
2161.46	-074950	16
2160.4	-073284	25
2160.38	-071619	17
2161.4	-069953	15
2160.44	-068288	15
2160.38	-066622	22
2160.38	-064956	15
2160.43	-063291	19
2159.36	-061625	25
2160.43	-059960	29
2160.43	-058294	27
2160.37	-056629	44
2161.45	-054963	57
2159.34	-053298	68
2160.42	-051632	92
2160.42	-049967	101
2160.47	-048301	121
2160.42	-046635	151
2161.48	-044970	150
2160.41	-043304	185
2160.42	-041639	182
2159.39	-039973	207
2160.42	-038308	215
2160.4	-036642	211
2159.34	-034977	240
2160.42	-033311	258
2160.42	-031645	275
2160.42	-029980	273
2161.45	-028314	300
2160.47	-026649	292
2160.42	-024983	282
2161.5	-023318	272
2160.42	-021652	299
2160.41	-019987	329
2160.42	-018321	325
2159.38	-016656	298
2160.42	-014990	311
2161.45	-013324	351
2159.38	-011659	337
2160.42	-009993	284
2160.41	-008328	324
2160.42	-006662	285
2160.47	-004997	299
2161.45	-003331	277
2160.41	-001666	273
2160.42	0	292
2159.39	001665	272
2160.47	003331	252
2160.42	004996	263
2159.39	006662	239
2160.41	008327	228
2160.42	009993	220
2160.42	011658	187
2161.49	013324	139
2160.41	014990	127
2160.47	016655	109
2160.41	018321	86
2160.41	019986	89
2161.43	021652	67
2160.41	023317	44
2159.39	024983	41
2160.41	026648	30
2160.41	028314	25
2159.32	029979	17
2160.42	031645	18
2161.43	033311	17
2160.42	034976	21
2160.4	036642	14
2160.47	038307	17
2160.41	039973	19
2161.5	041638	17
2160.41	043304	6
2160.41	044969	12
2161.43	046635	7
2159.38	048301	4
2160.43	049966	14
2160.41	051632	6
2159.39	053297	12
2160.4	054963	10
2160.41	056628	10
2160.42	058294	10
2160.43	059959	6
2159.38	061625	7
2160.41	063290	7
2161.48	064956	5
2159.39	066622	5
2160.41	068287	9
2160.45	069953	6
2159.38	071618	8
2160.41	073284	5
2160.4	074949	2
2160.41	076615	5
2160.4	078280	1
2161.51	079946	3
2160.4	081612	6
2160.41	083277	4
2161.45	084943	6
2160.38	086608	9
2160.4	088274	6
2159.35	089939	3
2160.46	091605	2
2160.4	093270	2
2160.41	094936	5
2160.4	096601	2
2160.4	098267	3
2161.48	099933	2
2160.41	101598	10
2161.48	103264	2
2160.4	104929	5
2160.4	106595	6
2160.4	108260	7
2160.4	109926	7
2161.43	111591	6
2159.37	113257	1
2160.43	114923	4
2160.42	116588	5
2159.39	118254	2
2160.41	119919	1
2160.42	121585	3
2160.4	123250	1
2160.43	124916	5
2159.37	126581	7
2160.4	128247	4
2161.5	129912	4
2159.4	131578	7
2160.4	133244	4
2160.47	134909	4
2159.4	136575	1
2160.42	138240	2
2160.4	139906	6
2160.4	141571	5
2160.4	143237	5
2160.45	144902	6
2161.42	146568	3
2160.4	148234	3
2159.37	149899	7
2160.4	151565	6
2160.4	153230	2
2159.31	154896	6
2160.4	156561	8
2159.39	158227	5
2160.4	159892	3
2160.39	161558	2
2159.36	163223	5
2160.39	164889	3
2161.48	166555	6
